,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
275,336.39551186561584,2.120325360984499,39.751175244649254,1.9781772723062057,False,log_loss,60,log2,1,3,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 800}",0.9106472612679852,0.910650578430153,0.9106852604971771,0.9106610333984384,1.7184588564222916e-05,148
276,134.51224160194397,0.6685954613930764,29.59261949857076,0.601101563917526,False,log_loss,60,log2,1,4,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.9106024795787204,0.9105178919434423,0.9103170548858562,0.9104791421360064,0.00011970233778391058,325
277,154.532279809316,0.21749504452602164,29.401989618937176,0.5825947023043623,False,log_loss,60,log2,1,4,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 350}",0.9104598416055065,0.9105693079570427,0.9105691596287426,0.9105327697304307,5.156800722689643e-05,274
278,173.33246080080667,0.6049590848033152,30.750652233759563,0.9422192796833169,False,log_loss,60,log2,1,4,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 400}",0.9104067670108222,0.9104084255919062,0.9106653574911597,0.9104935166979627,0.00012151167674408825,304
279,193.9330209096273,0.35978413903169554,31.39389141400655,0.7156676375223713,False,log_loss,60,log2,1,4,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 450}",0.9105560393083717,0.9106074553219721,0.9106288686467946,0.9105974544257127,3.0561867070702056e-05,210
280,217.85641384124756,2.766124666093616,35.75111850102743,0.21075864442512748,False,log_loss,60,log2,1,4,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",0.9105245262677779,0.9105925280922171,0.9105492566227252,0.91055543699424,2.810349652993383e-05,248
281,335.4917212327321,1.1471216437634604,38.86863931020101,1.9396778000149781,False,log_loss,60,log2,1,4,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 800}",0.9104847203217648,0.9106273582949787,0.9105044748591863,0.9105388511586433,6.310148082735382e-05,267
282,134.22471253077188,0.5838536353719467,28.881288369496662,0.06032893985883768,False,log_loss,60,log2,1,5,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9104366214703321,0.9104150599162416,0.9105343293682122,0.9104620035849287,5.1894054568809495e-05,341
283,154.1627810796102,1.4824432469519595,29.522350390752155,0.3190121198620925,False,log_loss,60,log2,1,5,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350}",0.9104847203217648,0.910496330389352,0.9104198870836125,0.9104669792649097,3.363483880187001e-05,337
284,173.0777599811554,1.1352228830439457,30.641368230183918,0.5897612190855256,False,log_loss,60,log2,1,5,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",0.9103835468756479,0.9105145747812746,0.9105675010449078,0.91048854090061,7.732229649918771e-05,312
285,193.44518613815308,0.9591550639024389,32.74948732058207,2.278828770002196,False,log_loss,60,log2,1,5,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450}",0.9102923249160343,0.9106721399842435,0.9104812546854993,0.9104819065285924,0.00015505953734882357,319
286,217.36846884091696,1.1725719289138483,37.39426318804423,0.38365016287756765,False,log_loss,60,log2,1,5,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.9105361363353651,0.9104498901190032,0.9104945233561775,0.9104935166035153,3.5217066150541796e-05,305
287,334.80562257766724,2.3297146213827205,40.78376301129659,0.8431953817704526,False,log_loss,60,log2,1,5,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 60, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.9105344777542812,0.9106074553219721,0.9106122828084469,0.9105847386282333,3.559440727832984e-05,223
288,139.32452074686685,0.6717402134052654,33.20682247479757,0.44604012876458193,False,log_loss,70,sqrt,1,2,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.9104399386325,0.9105162333623585,0.9104779375178298,0.9104780365042294,3.1147271681261504e-05,326
289,156.96150867144266,0.8096850407358468,35.03358292579651,0.8543321378306568,False,log_loss,70,sqrt,1,2,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350}",0.910565990794875,0.9104631587676743,0.9105276950328731,0.9105189481984741,4.2434159106047226e-05,286
290,176.58352144559225,1.8119830002627868,32.39768171310425,2.136128688212533,False,log_loss,70,sqrt,1,2,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.9104913546461003,0.910678774308579,0.9106719918264988,0.9106140402603927,8.67960079017493e-05,189
291,192.46398083368936,0.9352722618967544,31.160476843516033,0.7676642302198675,False,log_loss,70,sqrt,1,2,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450}",0.910650578430153,0.9105676493759589,0.9106222343114555,0.9106134873725225,3.441597219222153e-05,191
292,212.75864179929098,1.2490739167402987,34.16121904055277,3.0180331819953428,False,log_loss,70,sqrt,1,2,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9107418003897666,0.9107832649168637,0.9107001877516901,0.9107417510194401,3.3916128625274865e-05,82
293,333.74763266245526,1.8394424941516265,39.08447527885437,1.6213067127432366,False,log_loss,70,sqrt,1,2,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 800}",0.9106870672139984,0.9106638470788241,0.9107565796020726,0.910702497964965,3.939891092871427e-05,115
294,134.59931437174478,0.2934555751104562,29.205464283625286,0.4832388903486665,False,log_loss,70,sqrt,1,3,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 300}",0.9105444292407845,0.910552722146204,0.9104829132693341,0.9105266882187742,3.113816221228248e-05,278
295,154.3900714715322,0.8495697514328422,29.44892644882202,0.22135461633925088,False,log_loss,70,sqrt,1,3,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 350}",0.910451548700087,0.9106008209976365,0.9105691596287426,0.9105405097754886,6.421923529351895e-05,264
296,172.13371419906616,0.9310403319800782,30.033298412958782,0.14278947507149567,False,log_loss,70,sqrt,1,3,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 400}",0.9103437409296347,0.9106572127544885,0.910476278933995,0.910492410872706,0.00012848171291208755,306
297,192.90071495374045,0.39884393795743156,31.49319577217102,0.24060454132370804,False,log_loss,70,sqrt,1,3,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 450}",0.9105510635651201,0.9105593564705394,0.9106437959013076,0.9105847386456558,4.189679903386113e-05,221
298,210.3370542526245,0.7400869629062503,33.41711926460266,0.9845555762920517,False,log_loss,70,sqrt,1,3,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 500}",0.9104565244433387,0.9106588713355724,0.9105741353802469,0.9105631770530528,8.297039592664379e-05,237
299,332.44031222661334,1.295316026351489,40.17995055516561,0.968871518117814,False,log_loss,70,sqrt,1,3,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 800}",0.910565990794875,0.910819753700709,0.9106670160749946,0.9106842535235261,0.00010431283180331606,130
300,137.15482584635416,0.927433825875326,33.73682030042013,0.8989400454930223,False,log_loss,70,sqrt,1,4,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.9103221793755443,0.9104067670108222,0.9105741353802469,0.9104343605888712,0.00010469483030402447,357
301,155.3490516344706,0.10953224620607203,33.87931569417318,0.29438640255808746,False,log_loss,70,sqrt,1,4,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 350}",0.9105726251192106,0.9104731102541775,0.910446424424969,0.9104973865994523,5.430567503608668e-05,301
302,175.7480616569519,0.36321170775812023,35.09485880533854,0.4621859541722387,False,log_loss,70,sqrt,1,4,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 400}",0.9105709665381266,0.9104896960650164,0.910633844398299,0.9105648356671474,5.9007774523136496e-05,236
303,197.77977148691812,0.5295470634407278,35.18452008565267,1.0011752484628595,False,log_loss,70,sqrt,1,4,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 450}",0.9105245262677779,0.9105825766057138,0.9104414486734647,0.9105161838489856,5.791643565640646e-05,288
304,216.165914217631,0.690338913628495,35.7579513390859,0.7127594237261122,False,log_loss,70,sqrt,1,4,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 500}",0.9105925280922171,0.9105311605921135,0.9105343293682122,0.9105526726841809,2.8211704991481708e-05,251
305,333.90272283554077,0.5142992283618159,39.20358991622925,2.515980005735432,False,log_loss,70,sqrt,1,4,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 800}",0.9105742837002944,0.9105626736327073,0.9107035049193597,0.9106134874174537,6.382821426496411e-05,190
306,133.29568688074747,0.09979492276506949,29.23759627342224,0.5306978240928797,False,log_loss,70,sqrt,1,5,300,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.9103603267404735,0.9105460878218684,0.9105558909580643,0.9104874351734688,8.996829320635705e-05,314
307,153.7939701875051,0.5709677508119677,31.01914620399475,1.603607605521537,False,log_loss,70,sqrt,1,5,350,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 350}",0.9104366214703321,0.9104797445785131,0.9105260364490384,0.9104808008326278,3.651115225816086e-05,322
308,176.09178956349692,0.7221392181647144,34.197659413019814,0.6872789685457285,False,log_loss,70,sqrt,1,5,400,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}",0.9104200356594933,0.9105195505245263,0.9105343293682122,0.9104913051840772,5.0755048392545604e-05,308
309,196.26702547073364,1.994063914012068,35.08955399195353,0.5902234090483772,False,log_loss,70,sqrt,1,5,450,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 450}",0.9105178919434423,0.9104830617406808,0.9105691596287426,0.9105233711042886,3.5362197187201935e-05,280
310,214.06700372695923,1.3598389269444566,34.670270919799805,0.5656338175828223,False,log_loss,70,sqrt,1,5,500,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.9103852054567317,0.9104764274163453,0.9105973555539338,0.9104863294756703,8.68924776946481e-05,315
311,329.2002915541331,1.6181758602410345,37.15763505299886,1.2732926817251877,False,log_loss,70,sqrt,1,5,800,"{'bootstrap': False, 'criterion': 'log_loss', 'max_depth': 70, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 800}",0.9105328191731973,0.910552722146204,0.9105708182125773,0.9105521198439929,1.5518887941624988e-05,252
